dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Iris,141,l1,loss,1.0,False,False,0.01,32,0.8229166865348816,0.826 +- 0.005,0.7916666865348816,0.823 +- 0.035,0.826,0.823,0.7916666865348816,0.823,-0.03133331346511836
Iris,92,l1,loss,0.0,False,False,0.001,64,0.8333333134651184,0.823 +- 0.055,0.9166666865348816,0.844 +- 0.074,0.823,0.844,0.8333333134651184,0.823,0.010333313465118454
Iris,812,max,mult,0.0,False,False,0.001,64,0.8333333134651184,0.828 +- 0.058,0.875,0.823 +- 0.09,0.828,0.823,0.8333333134651184,0.823,0.010333313465118454
Iris,668,max,loss,0.0,False,False,0.001,64,0.8541666865348816,0.828 +- 0.031,0.9166666865348816,0.823 +- 0.095,0.828,0.823,0.8541666865348816,0.823,0.031166686534881638
Iris,295,l2,None,0.0,True,False,0.001,32,0.8645833134651184,0.823 +- 0.033,0.9166666865348816,0.865 +- 0.054,0.823,0.865,0.8645833134651184,0.823,0.041583313465118454
Iris,404,l2,loss,0.5,False,False,0.001,64,0.875,0.823 +- 0.019,0.9166666865348816,0.844 +- 0.045,0.823,0.844,0.875,0.823,0.052000000000000046
Iris,795,max,mult,0.0,True,True,0.01,32,0.912500023841858,0.823 +- 0.076,0.9583333134651184,0.948 +- 0.018,0.823,0.948,0.912500023841858,0.823,0.08950002384185807
Iris,1051,var,avg,0.5,False,False,0.001,32,0.9166666865348816,0.823 +- 0.074,0.9583333134651184,0.885 +- 0.035,0.823,0.885,0.9166666865348816,0.823,0.09366668653488164
Iris,437,l2,avg,0.0,True,True,0.1,32,0.9270833134651184,0.823 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.823,0.948,0.9270833134651184,0.823,0.10408331346511845
Iris,1146,var,mult,1.0,False,True,0.1,64,0.8833333253860474,0.822 +- 0.04,0.9166666865348816,0.917 +- 0.042,0.822,0.917,0.8833333253860474,0.822,0.06133332538604741
Iris,917,var,None,1.0,True,True,0.1,32,0.8854166865348816,0.822 +- 0.05,0.9583333134651184,0.927 +- 0.018,0.822,0.927,0.8854166865348816,0.822,0.06341668653488164
Iris,930,var,None,1.0,False,True,0.1,64,0.8854166865348816,0.822 +- 0.041,0.9166666865348816,0.906 +- 0.035,0.822,0.906,0.8854166865348816,0.822,0.06341668653488164
Iris,723,max,avg,0.0,True,True,0.01,32,0.912500023841858,0.822 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.822,0.958,0.912500023841858,0.822,0.09050002384185807
Iris,724,max,avg,0.0,True,True,0.01,64,0.912500023841858,0.822 +- 0.076,0.9583333134651184,0.948 +- 0.018,0.822,0.948,0.912500023841858,0.822,0.09050002384185807
Iris,738,max,avg,0.0,False,True,0.1,64,0.9270833134651184,0.822 +- 0.074,0.9583333134651184,0.938 +- 0.021,0.822,0.938,0.9270833134651184,0.822,0.10508331346511846
Iris,1002,var,loss,1.0,False,True,0.1,64,0.8833333253860474,0.821 +- 0.03,0.9166666865348816,0.917 +- 0.042,0.821,0.917,0.8833333253860474,0.821,0.06233332538604741
Iris,520,l2,mult,0.0,False,True,0.01,64,0.9145833253860474,0.821 +- 0.074,0.9583333134651184,0.958 +- 0.0,0.821,0.958,0.9145833253860474,0.821,0.09358332538604741
Iris,652,max,loss,0.0,True,True,0.01,64,0.9145833253860474,0.821 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.821,0.948,0.9145833253860474,0.821,0.09358332538604741
Iris,547,l2,mult,0.5,False,False,0.001,32,0.8125,0.82 +- 0.059,0.875,0.833 +- 0.066,0.82,0.833,0.8125,0.82,-0.007499999999999951
Iris,116,l1,loss,0.5,False,False,0.001,64,0.8229166865348816,0.82 +- 0.036,0.875,0.823 +- 0.095,0.82,0.823,0.8229166865348816,0.82,0.0029166865348816406
Iris,584,max,None,0.0,True,False,0.001,64,0.875,0.82 +- 0.026,0.9166666865348816,0.854 +- 0.069,0.82,0.854,0.875,0.82,0.05500000000000005
Iris,978,var,loss,0.5,False,True,0.1,64,0.8895833492279053,0.82 +- 0.039,0.9166666865348816,0.906 +- 0.035,0.82,0.906,0.8895833492279053,0.82,0.06958334922790532
Iris,4,l1,None,0.0,True,True,0.01,64,0.912500023841858,0.82 +- 0.076,0.9583333134651184,0.948 +- 0.018,0.82,0.948,0.912500023841858,0.82,0.09250002384185807
Iris,159,l1,avg,0.0,False,True,0.01,32,0.912500023841858,0.82 +- 0.076,0.9583333134651184,0.948 +- 0.018,0.82,0.948,0.912500023841858,0.82,0.09250002384185807
Iris,232,l1,mult,0.0,False,True,0.01,64,0.912500023841858,0.82 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.82,0.958,0.912500023841858,0.82,0.09250002384185807
Iris,807,max,mult,0.0,False,True,0.01,32,0.912500023841858,0.82 +- 0.076,0.9583333134651184,0.948 +- 0.018,0.82,0.948,0.912500023841858,0.82,0.09250002384185807
Iris,808,max,mult,0.0,False,True,0.01,64,0.9145833253860474,0.819 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.819,0.948,0.9145833253860474,0.819,0.09558332538604741
Iris,735,max,avg,0.0,False,True,0.01,32,0.9166666865348816,0.819 +- 0.078,0.9583333134651184,0.948 +- 0.018,0.819,0.948,0.9166666865348816,0.819,0.09766668653488164
Iris,391,l2,loss,0.5,True,False,0.001,32,0.8229166865348816,0.818 +- 0.081,0.8333333134651184,0.833 +- 0.059,0.818,0.833,0.8229166865348816,0.818,0.004916686534881642
Iris,631,max,None,1.0,True,False,0.001,32,0.8229166865348816,0.818 +- 0.046,0.9166666865348816,0.833 +- 0.121,0.818,0.833,0.8229166865348816,0.818,0.004916686534881642
Iris,1052,var,avg,0.5,False,False,0.001,64,0.8541666865348816,0.818 +- 0.038,0.875,0.823 +- 0.08,0.818,0.823,0.8541666865348816,0.818,0.03616668653488164
Iris,88,l1,loss,0.0,False,True,0.01,64,0.912500023841858,0.818 +- 0.076,0.9583333134651184,0.958 +- 0.0,0.818,0.958,0.912500023841858,0.818,0.09450002384185807
Iris,148,l1,avg,0.0,True,True,0.01,64,0.9145833253860474,0.818 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.818,0.948,0.9145833253860474,0.818,0.09658332538604741
Iris,651,max,loss,0.0,True,True,0.01,32,0.9187499880790709,0.818 +- 0.077,0.9583333134651184,0.948 +- 0.018,0.818,0.948,0.9187499880790709,0.818,0.10074998807907098
Iris,894,var,None,0.5,True,True,0.1,64,0.8833333253860474,0.817 +- 0.052,0.9583333134651184,0.917 +- 0.029,0.817,0.917,0.8833333253860474,0.817,0.06633332538604741
Iris,580,max,None,0.0,True,True,0.01,64,0.9208333492279052,0.816 +- 0.079,0.9583333134651184,0.948 +- 0.018,0.816,0.948,0.9208333492279052,0.816,0.10483334922790521
Iris,43,l1,None,0.5,False,False,0.001,32,0.8229166865348816,0.815 +- 0.045,0.9166666865348816,0.833 +- 0.098,0.815,0.833,0.8229166865348816,0.815,0.007916686534881645
Iris,667,max,loss,0.0,False,False,0.001,32,0.8229166865348816,0.812 +- 0.023,0.7916666865348816,0.812 +- 0.063,0.812,0.812,0.7916666865348816,0.812,-0.020333313465118463
Iris,1049,var,avg,0.5,False,True,0.1,32,0.8937500119209291,0.812 +- 0.05,0.9166666865348816,0.906 +- 0.035,0.812,0.906,0.8937500119209291,0.812,0.08175001192092901
Iris,164,l1,avg,0.0,False,False,0.001,64,0.8958333134651184,0.812 +- 0.038,0.9166666865348816,0.844 +- 0.085,0.812,0.844,0.8958333134651184,0.812,0.08383331346511835
Iris,216,l1,avg,1.0,False,False,0.1,64,0.8958333134651184,0.812 +- 0.091,0.9583333134651184,0.865 +- 0.095,0.812,0.865,0.8958333134651184,0.812,0.08383331346511835
Iris,1004,var,loss,1.0,False,False,0.001,64,0.8020833134651184,0.81 +- 0.041,0.875,0.823 +- 0.095,0.81,0.823,0.8020833134651184,0.81,-0.007916686534881645
