dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Ecoli,1110,var,mult,0.5,True,True,0.1,64,0.8500000238418579,0.827 +- 0.018,0.7924528121948242,0.763 +- 0.033,0.827,0.763,0.7924528121948242,0.763,0.029452812194824207
Ecoli,178,l1,avg,0.5,True,False,0.01,64,0.8511627912521362,0.836 +- 0.01,0.7735849022865295,0.76 +- 0.036,0.836,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,468,l2,avg,0.5,True,False,0.1,64,0.8465116024017334,0.839 +- 0.014,0.7735849022865295,0.76 +- 0.036,0.839,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,854,max,mult,1.0,False,True,0.001,64,0.8418604731559753,0.816 +- 0.013,0.7735849022865295,0.76 +- 0.036,0.816,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,1033,var,avg,0.5,True,True,0.001,32,0.8395348787307739,0.819 +- 0.015,0.7735849022865295,0.76 +- 0.036,0.819,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,1035,var,avg,0.5,True,True,0.01,32,0.8517441749572754,0.831 +- 0.016,0.7735849022865295,0.76 +- 0.041,0.831,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,1054,var,avg,0.5,False,False,0.01,64,0.8604651093482971,0.849 +- 0.012,0.7735849022865295,0.76 +- 0.036,0.849,0.76,0.7735849022865295,0.76,0.013584902286529532
Ecoli,237,l1,mult,0.0,False,False,0.01,32,0.869767427444458,0.828 +- 0.046,0.7924528121948242,0.76 +- 0.045,0.828,0.76,0.7924528121948242,0.76,0.03245281219482421
Ecoli,323,l2,None,0.5,True,False,0.1,32,0.8465116024017334,0.83 +- 0.019,0.7924528121948242,0.76 +- 0.039,0.83,0.76,0.7924528121948242,0.76,0.03245281219482421
Ecoli,349,l2,None,1.0,False,True,0.001,32,0.8534883856773376,0.83 +- 0.017,0.7924528121948242,0.76 +- 0.04,0.83,0.76,0.7924528121948242,0.76,0.03245281219482421
Ecoli,624,max,None,0.5,False,False,0.1,64,0.8558139801025391,0.836 +- 0.015,0.7924528121948242,0.76 +- 0.037,0.836,0.76,0.7924528121948242,0.76,0.03245281219482421
Ecoli,749,max,avg,0.5,True,True,0.1,32,0.8331395387649536,0.811 +- 0.017,0.7924528121948242,0.76 +- 0.04,0.811,0.76,0.7924528121948242,0.76,0.03245281219482421
Ecoli,86,l1,loss,0.0,False,True,0.001,64,0.8418604731559753,0.819 +- 0.017,0.7735849022865295,0.757 +- 0.036,0.819,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,358,l2,None,1.0,False,False,0.01,64,0.8511627912521362,0.84 +- 0.014,0.7735849022865295,0.757 +- 0.041,0.84,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,446,l2,avg,0.0,False,True,0.001,64,0.8418604731559753,0.814 +- 0.015,0.7735849022865295,0.757 +- 0.034,0.814,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,472,l2,avg,0.5,False,True,0.01,64,0.835465133190155,0.815 +- 0.015,0.7735849022865295,0.757 +- 0.037,0.815,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,825,max,mult,0.5,True,False,0.01,32,0.8511627912521362,0.837 +- 0.012,0.7735849022865295,0.757 +- 0.036,0.837,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,909,var,None,0.5,False,False,0.01,32,0.8511627912521362,0.839 +- 0.014,0.7735849022865295,0.757 +- 0.037,0.839,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,1114,var,mult,0.5,True,False,0.01,64,0.8558139801025391,0.843 +- 0.01,0.7735849022865295,0.757 +- 0.034,0.843,0.757,0.7735849022865295,0.757,0.016584902286529535
Ecoli,534,l2,mult,0.5,True,True,0.1,64,0.8517441749572754,0.827 +- 0.017,0.7924528121948242,0.757 +- 0.043,0.827,0.757,0.7924528121948242,0.757,0.03545281219482421
Ecoli,7,l1,None,0.0,True,False,0.001,32,0.8604651093482971,0.837 +- 0.024,0.7735849022865295,0.755 +- 0.036,0.837,0.755,0.7735849022865295,0.755,0.018584902286529537
