dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Accent,365,l2,loss,0.0,True,True,0.1,32,0.6772893667221069,0.648 +- 0.022,0.7547169923782349,0.725 +- 0.03,0.648,0.725,0.6772893667221069,0.648,0.029289366722106913
Accent,959,var,loss,0.0,False,False,0.1,32,0.6809523701667786,0.648 +- 0.029,0.7547169923782349,0.72 +- 0.022,0.648,0.72,0.6809523701667786,0.648,0.032952370166778544
Accent,63,l1,None,1.0,False,True,0.01,32,0.6512820720672607,0.647 +- 0.003,0.7169811129570007,0.706 +- 0.012,0.647,0.706,0.6512820720672607,0.647,0.004282072067260723
Accent,114,l1,loss,0.5,False,True,0.1,64,0.6659340858459473,0.647 +- 0.011,0.7735849022865295,0.745 +- 0.03,0.647,0.745,0.6659340858459473,0.647,0.018934085845947246
Accent,952,var,loss,0.0,False,True,0.01,64,0.666300356388092,0.647 +- 0.02,0.698113203048706,0.687 +- 0.034,0.647,0.687,0.666300356388092,0.647,0.01930035638809202
Accent,1052,var,avg,0.5,False,False,0.001,64,0.6666666865348816,0.646 +- 0.012,0.6792452931404114,0.675 +- 0.019,0.646,0.675,0.6666666865348816,0.646,0.020666686534881573
Accent,1111,var,mult,0.5,True,False,0.001,32,0.6714285612106323,0.646 +- 0.021,0.7169811129570007,0.706 +- 0.021,0.646,0.706,0.6714285612106323,0.646,0.025428561210632306
Accent,527,l2,mult,0.0,False,False,0.1,32,0.6761904954910278,0.646 +- 0.022,0.7735849022865295,0.733 +- 0.045,0.646,0.733,0.6761904954910278,0.646,0.030190495491027813
Accent,62,l1,None,1.0,False,True,0.001,64,0.6516483426094055,0.645 +- 0.004,0.7358490824699402,0.711 +- 0.018,0.645,0.711,0.6516483426094055,0.645,0.0066483426094055
Accent,295,l2,None,0.0,True,False,0.001,32,0.6666666865348816,0.644 +- 0.014,0.6792452931404114,0.678 +- 0.014,0.644,0.678,0.6666666865348816,0.644,0.022666686534881575
Accent,263,l1,mult,0.5,False,False,0.1,32,0.6523809432983398,0.641 +- 0.018,0.7169811129570007,0.7 +- 0.016,0.641,0.7,0.6523809432983398,0.641,0.01138094329833983
Accent,463,l2,avg,0.5,True,False,0.001,32,0.6523809432983398,0.64 +- 0.014,0.6603773832321167,0.657 +- 0.023,0.64,0.657,0.6523809432983398,0.64,0.01238094329833983
Accent,833,max,mult,0.5,False,True,0.1,32,0.6560439467430115,0.64 +- 0.008,0.7547169923782349,0.744 +- 0.021,0.64,0.744,0.6560439467430115,0.64,0.01604394674301146
Accent,848,max,mult,1.0,True,False,0.001,64,0.6619047522544861,0.64 +- 0.023,0.7358490824699402,0.711 +- 0.027,0.64,0.711,0.6619047522544861,0.64,0.02190475225448607
Accent,872,var,None,0.0,True,False,0.001,64,0.6571428775787354,0.639 +- 0.022,0.698113203048706,0.692 +- 0.034,0.639,0.692,0.6571428775787354,0.639,0.01814287757873534
Accent,1087,var,mult,0.0,True,False,0.001,32,0.6523809432983398,0.638 +- 0.017,0.6603773832321167,0.656 +- 0.023,0.638,0.656,0.6523809432983398,0.638,0.014380943298339832
Accent,1094,var,mult,0.0,False,True,0.001,64,0.6615384817123413,0.637 +- 0.023,0.7358490824699402,0.722 +- 0.026,0.637,0.722,0.6615384817123413,0.637,0.024538481712341298
Accent,908,var,None,0.5,False,False,0.001,64,0.6476190686225891,0.636 +- 0.012,0.6415094137191772,0.646 +- 0.021,0.636,0.646,0.6415094137191772,0.636,0.005509413719177236
Accent,248,l1,mult,0.5,True,False,0.001,64,0.6619047522544861,0.636 +- 0.026,0.7547169923782349,0.719 +- 0.027,0.636,0.719,0.6619047522544861,0.636,0.025904752254486074
Accent,56,l1,None,1.0,True,False,0.001,64,0.6476190686225891,0.635 +- 0.01,0.6603773832321167,0.657 +- 0.017,0.635,0.657,0.6476190686225891,0.635,0.012619068622589102
Accent,1099,var,mult,0.0,False,False,0.001,32,0.6476190686225891,0.635 +- 0.02,0.698113203048706,0.712 +- 0.019,0.635,0.712,0.6476190686225891,0.635,0.012619068622589102
Accent,217,l1,mult,0.0,True,True,0.001,32,0.6582417488098145,0.635 +- 0.015,0.6792452931404114,0.681 +- 0.016,0.635,0.681,0.6582417488098145,0.635,0.023241748809814444
Accent,882,var,None,0.0,False,True,0.1,64,0.6582417488098145,0.635 +- 0.017,0.7547169923782349,0.734 +- 0.026,0.635,0.734,0.6582417488098145,0.635,0.023241748809814444
Accent,456,l2,avg,0.0,False,False,0.1,64,0.6619047522544861,0.635 +- 0.025,0.7169811129570007,0.681 +- 0.021,0.635,0.681,0.6619047522544861,0.635,0.026904752254486075
Accent,134,l1,loss,1.0,False,True,0.001,64,0.6487179398536682,0.634 +- 0.013,0.6792452931404114,0.681 +- 0.02,0.634,0.681,0.6487179398536682,0.634,0.014717939853668205
Accent,61,l1,None,1.0,False,True,0.001,32,0.6465201377868652,0.633 +- 0.018,0.698113203048706,0.682 +- 0.017,0.633,0.682,0.6465201377868652,0.633,0.013520137786865227
Accent,982,var,loss,0.5,False,False,0.01,64,0.6571428775787354,0.633 +- 0.017,0.6603773832321167,0.657 +- 0.02,0.633,0.657,0.6571428775787354,0.633,0.024142877578735344
Accent,191,l1,avg,0.5,False,False,0.1,32,0.6380952596664429,0.632 +- 0.008,0.698113203048706,0.692 +- 0.016,0.632,0.692,0.6380952596664429,0.632,0.006095259666442865
Accent,883,var,None,0.0,False,False,0.001,32,0.6571428775787354,0.632 +- 0.019,0.698113203048706,0.687 +- 0.024,0.632,0.687,0.6571428775787354,0.632,0.025142877578735345
