dataset,n_epochs,reg_type,weight_type,alpha,lr,verbose,full_score,partial_score
Banknote,300,l1,None,0.5,0.01,False,0.9818181991577148,0.9172727316617966 +- 0.04968495877341204
Banknote,300,l1,None,0.5,0.1,False,0.9599999785423279,0.9072727262973785 +- 0.04559975423457168
Banknote,300,l1,None,0.5,0.1,False,0.9818181991577148,0.8972727358341217 +- 0.06552395718144695
Banknote,300,l1,None,0.5,0.001,False,0.9781818389892578,0.9036363810300827 +- 0.05081159501846596
Banknote,300,l1,None,0.5,0.001,False,0.9890909194946289,0.8772727251052856 +- 0.08144866532073398
Banknote,300,l1,None,0.5,0.01,False,0.996363639831543,0.8990909159183502 +- 0.06252933862004857
Banknote,300,l1,None,0.5,0.01,False,0.9854545593261719,0.8772727400064468 +- 0.08878891606692345
Banknote,300,l1,None,0.5,0.1,False,0.9599999785423279,0.8963636457920074 +- 0.043370388981288484
Banknote,300,l1,None,0.5,0.1,False,0.9745454788208008,0.8818181902170181 +- 0.06658121121095208
Banknote,300,l1,None,1,0.001,False,0.8472727537155151,0.8090909123420715 +- 0.0707690955187037
Banknote,300,l1,None,1,0.001,False,0.9163636565208435,0.8372727334499359 +- 0.11138127681868479
Banknote,300,l1,None,1,0.01,False,0.8509091138839722,0.8109090924263 +- 0.07167419593435359
Banknote,300,l1,None,1,0.01,False,0.9272727370262146,0.8354545533657074 +- 0.1272824685925062
Banknote,300,l1,None,1,0.1,False,0.8509091138839722,0.8063636422157288 +- 0.06775625497275099
Banknote,300,l1,None,1,0.1,False,0.9527272582054138,0.8545454442501068 +- 0.0944054994964029
Banknote,300,l1,None,1,0.001,False,0.8727272748947144,0.8109090775251389 +- 0.0910544394409437
Banknote,300,l1,None,1,0.001,False,0.9490908980369568,0.8627272695302963 +- 0.08221620113689913
Banknote,300,l1,None,1,0.01,False,0.8727272748947144,0.8218181878328323 +- 0.08004131248938536
Banknote,300,l1,None,1,0.01,False,0.9745454788208008,0.9063636362552643 +- 0.06178475410226718
Banknote,300,l1,None,1,0.1,False,0.9672726988792419,0.9009090960025787 +- 0.05676544035437733
Banknote,300,l1,None,1,0.1,False,0.8618181943893433,0.810000017285347 +- 0.0857200858475589
Banknote,300,l1,None,1,0.001,False,0.8545454740524292,0.8090909123420715 +- 0.07114181301020045
Banknote,300,l1,None,1,0.001,False,0.9563636183738708,0.8636363595724106 +- 0.08660730640969058
Banknote,300,l1,None,1,0.01,False,0.9527272582054138,0.8554545342922211 +- 0.0952552109605254
Banknote,300,l1,None,1,0.01,False,0.9527272582054138,0.8554545342922211 +- 0.0952552109605254
Banknote,300,l1,None,1,0.1,False,0.8654545545578003,0.8100000023841858 +- 0.08018057648254388
Banknote,300,l1,None,1,0.1,False,0.8763636350631714,0.8563636392354965 +- 0.02307014364313224
Banknote,300,l1,None,1,0.001,False,0.9272727370262146,0.8700000047683716 +- 0.06537243382798828
Banknote,300,l1,None,1,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,1,0.01,False,0.8799999952316284,0.8154545426368713 +- 0.09959837484860966
Banknote,300,l1,None,1,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,1,0.1,False,0.9745454788208008,0.9063636362552643 +- 0.05966158625846465
Banknote,300,l1,None,1,0.1,False,0.8799999952316284,0.8145454525947571 +- 0.11145913948837499
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.610909104347229,0.6054545491933823 +- 0.00944756665914923
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
