dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Wine,793,l2,avg,2.0,True,True,0.001,32,0.5663265585899353,0.561 +- 0.011,0.561,0.0053265585899352486
Wine,1160,max,loss,2.0,True,False,0.001,64,0.5663265585899353,0.561 +- 0.014,0.561,0.0053265585899352486
Wine,806,l2,avg,2.0,False,True,0.001,64,0.5676020383834839,0.561 +- 0.011,0.561,0.0066020383834838325
Wine,913,l2,mult,2.0,True,True,0.001,32,0.5701530575752258,0.561 +- 0.011,0.561,0.009153057575225776
Wine,794,l2,avg,2.0,True,True,0.001,64,0.5714285969734192,0.561 +- 0.011,0.561,0.010428596973419135
Wine,613,l2,loss,0.0,False,True,0.001,32,0.5739796161651611,0.561 +- 0.022,0.561,0.012979616165161079
Wine,739,l2,avg,0.0,False,False,0.001,32,0.579081654548645,0.561 +- 0.022,0.561,0.018081654548644965
Wine,141,l1,loss,0.0,False,False,0.01,32,0.581632673740387,0.561 +- 0.022,0.561,0.02063267374038691
Wine,983,max,None,0.0,False,False,0.1,32,0.581632673740387,0.561 +- 0.015,0.561,0.02063267374038691
Wine,1117,max,loss,0.5,False,True,0.001,32,0.581632673740387,0.561 +- 0.012,0.561,0.02063267374038691
Wine,565,l2,None,2.0,False,True,0.001,32,0.5663265585899353,0.56 +- 0.015,0.56,0.0063265585899352494
Wine,553,l2,None,2.0,True,True,0.001,32,0.5714285969734192,0.56 +- 0.015,0.56,0.011428596973419136
Wine,494,l2,None,0.0,False,True,0.001,64,0.5727040767669678,0.56 +- 0.017,0.56,0.01270407676696772
Wine,571,l2,None,2.0,False,False,0.001,32,0.5663265585899353,0.559 +- 0.012,0.559,0.00732655858993525
Wine,259,l1,avg,0.0,False,False,0.001,32,0.5676020383834839,0.559 +- 0.014,0.559,0.008602038383483834
Wine,847,l2,mult,0.0,True,False,0.001,32,0.5676020383834839,0.559 +- 0.018,0.559,0.008602038383483834
Wine,860,l2,mult,0.0,False,False,0.001,64,0.5688775777816772,0.559 +- 0.02,0.559,0.009877577781677194
Wine,805,l2,avg,2.0,False,True,0.001,32,0.5714285969734192,0.559 +- 0.013,0.559,0.012428596973419137
Wine,932,l2,mult,2.0,False,False,0.001,64,0.5714285969734192,0.559 +- 0.014,0.559,0.012428596973419137
Wine,1287,max,avg,2.0,False,True,0.01,32,0.5727040767669678,0.559 +- 0.009,0.559,0.013704076766967721
Wine,921,l2,mult,2.0,True,False,0.01,32,0.5625,0.558 +- 0.011,0.558,0.0044999999999999485
Wine,265,l1,avg,0.5,True,True,0.001,32,0.5663265585899353,0.558 +- 0.016,0.558,0.008326558589935251
Wine,621,l2,loss,0.0,False,False,0.01,32,0.5663265585899353,0.558 +- 0.018,0.558,0.008326558589935251
Wine,145,l1,loss,0.5,True,True,0.001,32,0.5676020383834839,0.558 +- 0.021,0.558,0.009602038383483835
Wine,556,l2,None,2.0,True,True,0.01,64,0.5676020383834839,0.558 +- 0.011,0.558,0.009602038383483835
Wine,566,l2,None,2.0,False,True,0.001,64,0.5688775777816772,0.558 +- 0.011,0.558,0.010877577781677195
Wine,634,l2,loss,0.5,True,False,0.01,64,0.5701530575752258,0.558 +- 0.014,0.558,0.012153057575225779
Wine,891,l2,mult,1.0,True,True,0.01,32,0.5701530575752258,0.558 +- 0.016,0.558,0.012153057575225779
Wine,1047,max,None,2.0,False,True,0.01,32,0.5701530575752258,0.558 +- 0.009,0.558,0.012153057575225779
Wine,122,l1,loss,0.0,True,True,0.001,64,0.5714285969734192,0.558 +- 0.015,0.558,0.013428596973419138
Wine,499,l2,None,0.0,False,False,0.001,32,0.5714285969734192,0.558 +- 0.021,0.558,0.013428596973419138
Wine,915,l2,mult,2.0,True,True,0.01,32,0.5714285969734192,0.558 +- 0.015,0.558,0.013428596973419138
Wine,154,l1,loss,0.5,True,False,0.01,64,0.5727040767669678,0.558 +- 0.017,0.558,0.014704076766967722
Wine,561,l2,None,2.0,True,False,0.01,32,0.5637755393981934,0.557 +- 0.015,0.557,0.006775539398193309
Wine,630,l2,loss,0.5,True,True,0.1,64,0.5637755393981934,0.557 +- 0.008,0.557,0.006775539398193309
Wine,1130,max,loss,1.0,True,True,0.001,64,0.5650510191917419,0.557 +- 0.009,0.557,0.008051019191741893
Wine,673,l2,loss,2.0,True,True,0.001,32,0.5688775777816772,0.557 +- 0.013,0.557,0.011877577781677195
Wine,1134,max,loss,1.0,True,True,0.1,64,0.5688775777816772,0.557 +- 0.008,0.557,0.011877577781677195
Wine,1155,max,loss,2.0,True,True,0.01,32,0.5688775777816772,0.557 +- 0.01,0.557,0.011877577781677195
Wine,1041,max,None,2.0,True,False,0.01,32,0.5701530575752258,0.557 +- 0.009,0.557,0.01315305757522578
Wine,507,l2,None,0.5,True,True,0.01,32,0.5714285969734192,0.557 +- 0.016,0.557,0.014428596973419139
Wine,1083,max,loss,0.0,True,True,0.01,32,0.5727040767669678,0.557 +- 0.018,0.557,0.015704076766967723
Wine,861,l2,mult,0.0,False,False,0.01,32,0.5778061151504517,0.557 +- 0.023,0.557,0.02080611515045161
Wine,243,l1,avg,0.0,True,True,0.01,32,0.5625,0.556 +- 0.009,0.556,0.00649999999999995
Wine,655,l2,loss,1.0,True,False,0.001,32,0.5625,0.556 +- 0.02,0.556,0.00649999999999995
Wine,692,l2,loss,2.0,False,False,0.001,64,0.5625,0.556 +- 0.014,0.556,0.00649999999999995
Wine,925,l2,mult,2.0,False,True,0.001,32,0.5625,0.556 +- 0.011,0.556,0.00649999999999995
Wine,484,l2,None,0.0,True,True,0.01,64,0.5637755393981934,0.556 +- 0.011,0.556,0.00777553939819331
Wine,509,l2,None,0.5,True,True,0.1,32,0.5701530575752258,0.556 +- 0.019,0.556,0.01415305757522578
Wine,516,l2,None,0.5,True,False,0.1,64,0.5701530575752258,0.556 +- 0.011,0.556,0.01415305757522578
Wine,1167,max,loss,2.0,False,True,0.01,32,0.5701530575752258,0.556 +- 0.011,0.556,0.01415305757522578
Wine,568,l2,None,2.0,False,True,0.01,64,0.5714285969734192,0.556 +- 0.015,0.556,0.01542859697341914
Wine,1086,max,loss,0.0,True,True,0.1,64,0.579081654548645,0.556 +- 0.012,0.556,0.02308165454864497
Wine,799,l2,avg,2.0,True,False,0.001,32,0.5586734414100647,0.555 +- 0.013,0.555,0.0036734414100646484
Wine,926,l2,mult,2.0,False,True,0.001,64,0.5599489808082581,0.555 +- 0.014,0.555,0.004948980808258008
Wine,147,l1,loss,0.5,True,True,0.01,32,0.5612244606018066,0.555 +- 0.013,0.555,0.006224460601806592
Wine,397,l1,mult,0.5,False,True,0.001,32,0.5650510191917419,0.555 +- 0.015,0.555,0.010051019191741895
Wine,46,l1,None,0.5,False,False,0.01,64,0.5663265585899353,0.555 +- 0.016,0.555,0.011326558589935254
Wine,280,l1,avg,0.5,False,True,0.01,64,0.5663265585899353,0.555 +- 0.015,0.555,0.011326558589935254
Wine,394,l1,mult,0.5,True,False,0.01,64,0.5663265585899353,0.555 +- 0.016,0.555,0.011326558589935254
Wine,922,l2,mult,2.0,True,False,0.01,64,0.5701530575752258,0.555 +- 0.021,0.555,0.015153057575225781
Wine,160,l1,loss,0.5,False,True,0.01,64,0.5714285969734192,0.555 +- 0.018,0.555,0.01642859697341914
Wine,144,l1,loss,0.0,False,False,0.1,64,0.5727040767669678,0.555 +- 0.02,0.555,0.017704076766967725
Wine,1162,max,loss,2.0,True,False,0.01,64,0.5752550959587097,0.555 +- 0.01,0.555,0.020255095958709668
Wine,669,l2,loss,1.0,False,False,0.01,32,0.5573979616165161,0.554 +- 0.012,0.554,0.0033979616165160653
Wine,278,l1,avg,0.5,False,True,0.001,64,0.5612244606018066,0.554 +- 0.015,0.554,0.007224460601806593
Wine,6,l1,None,0.0,True,True,0.1,64,0.5625,0.554 +- 0.015,0.554,0.008499999999999952
Wine,686,l2,loss,2.0,False,True,0.001,64,0.5625,0.554 +- 0.011,0.554,0.008499999999999952
Wine,812,l2,avg,2.0,False,False,0.001,64,0.5625,0.554 +- 0.009,0.554,0.008499999999999952
Wine,1242,max,avg,0.5,False,True,0.1,64,0.5625,0.554 +- 0.01,0.554,0.008499999999999952
Wine,540,l2,None,1.0,True,False,0.1,64,0.5637755393981934,0.554 +- 0.014,0.554,0.009775539398193311
Wine,691,l2,loss,2.0,False,False,0.001,32,0.5650510191917419,0.554 +- 0.014,0.554,0.011051019191741895
Wine,249,l1,avg,0.0,True,False,0.01,32,0.5663265585899353,0.554 +- 0.017,0.554,0.012326558589935255
Wine,920,l2,mult,2.0,True,False,0.001,64,0.5676020383834839,0.554 +- 0.012,0.554,0.013602038383483839
Wine,1045,max,None,2.0,False,True,0.001,32,0.5688775777816772,0.554 +- 0.01,0.554,0.014877577781677198
Wine,133,l1,loss,0.0,False,True,0.001,32,0.5701530575752258,0.554 +- 0.019,0.554,0.016153057575225782
Wine,768,l2,avg,0.5,False,False,0.1,64,0.5714285969734192,0.554 +- 0.014,0.554,0.01742859697341914
Wine,560,l2,None,2.0,True,False,0.001,64,0.5561224222183228,0.553 +- 0.012,0.553,0.003122422218322707
Wine,184,l1,loss,1.0,False,True,0.01,64,0.5586734414100647,0.553 +- 0.012,0.553,0.00567344141006465
Wine,919,l2,mult,2.0,True,False,0.001,32,0.5599489808082581,0.553 +- 0.01,0.553,0.00694898080825801
Wine,679,l2,loss,2.0,True,False,0.001,32,0.5612244606018066,0.553 +- 0.012,0.553,0.008224460601806594
Wine,882,l2,mult,0.5,False,True,0.1,64,0.5612244606018066,0.553 +- 0.012,0.553,0.008224460601806594
Wine,10,l1,None,0.0,True,False,0.01,64,0.5625,0.553 +- 0.017,0.553,0.009499999999999953
Wine,146,l1,loss,0.5,True,True,0.001,64,0.5625,0.553 +- 0.016,0.553,0.009499999999999953
Wine,551,l2,None,1.0,False,False,0.1,32,0.5625,0.553 +- 0.02,0.553,0.009499999999999953
Wine,1046,max,None,2.0,False,True,0.001,64,0.5625,0.553 +- 0.008,0.553,0.009499999999999953
Wine,1252,max,avg,1.0,True,True,0.01,64,0.5625,0.553 +- 0.008,0.553,0.009499999999999953
Wine,559,l2,None,2.0,True,False,0.001,32,0.5650510191917419,0.553 +- 0.016,0.553,0.012051019191741896
Wine,1270,max,avg,1.0,False,False,0.01,64,0.5650510191917419,0.553 +- 0.011,0.553,0.012051019191741896
Wine,1097,max,loss,0.0,False,True,0.1,32,0.5663265585899353,0.553 +- 0.015,0.553,0.013326558589935256
Wine,1288,max,avg,2.0,False,True,0.01,64,0.5663265585899353,0.553 +- 0.008,0.553,0.013326558589935256
Wine,656,l2,loss,1.0,True,False,0.001,64,0.5714285969734192,0.553 +- 0.015,0.553,0.018428596973419142
Wine,1020,max,None,1.0,True,False,0.1,64,0.5714285969734192,0.553 +- 0.011,0.553,0.018428596973419142
Wine,1161,max,loss,2.0,True,False,0.01,32,0.5714285969734192,0.553 +- 0.009,0.553,0.018428596973419142
Wine,277,l1,avg,0.5,False,True,0.001,32,0.5599489808082581,0.552 +- 0.018,0.552,0.00794898080825801
Wine,811,l2,avg,2.0,False,False,0.001,32,0.5612244606018066,0.552 +- 0.014,0.552,0.009224460601806594
Wine,127,l1,loss,0.0,True,False,0.001,32,0.5625,0.552 +- 0.017,0.552,0.010499999999999954
Wine,1276,max,avg,2.0,True,True,0.01,64,0.5625,0.552 +- 0.008,0.552,0.010499999999999954
Wine,284,l1,avg,0.5,False,False,0.001,64,0.5637755393981934,0.552 +- 0.016,0.552,0.011775539398193313
Wine,685,l2,loss,2.0,False,True,0.001,32,0.5637755393981934,0.552 +- 0.01,0.552,0.011775539398193313
Wine,1166,max,loss,2.0,False,True,0.001,64,0.5637755393981934,0.552 +- 0.008,0.552,0.011775539398193313
Wine,43,l1,None,0.5,False,False,0.001,32,0.5650510191917419,0.552 +- 0.019,0.552,0.013051019191741897
Wine,528,l2,None,0.5,False,False,0.1,64,0.5650510191917419,0.552 +- 0.012,0.552,0.013051019191741897
Wine,18,l1,None,0.0,False,True,0.1,64,0.5676020383834839,0.552 +- 0.014,0.552,0.01560203838348384
Wine,914,l2,mult,2.0,True,True,0.001,64,0.5548469424247742,0.551 +- 0.012,0.551,0.0038469424247741246
Wine,766,l2,avg,0.5,False,False,0.01,64,0.5561224222183228,0.551 +- 0.016,0.551,0.005122422218322709
Wine,927,l2,mult,2.0,False,True,0.01,32,0.5586734414100647,0.551 +- 0.014,0.551,0.007673441410064652
Wine,157,l1,loss,0.5,False,True,0.001,32,0.5599489808082581,0.551 +- 0.016,0.551,0.008948980808258011
Wine,674,l2,loss,2.0,True,True,0.001,64,0.5612244606018066,0.551 +- 0.011,0.551,0.010224460601806595
Wine,887,l2,mult,0.5,False,False,0.1,32,0.5612244606018066,0.551 +- 0.013,0.551,0.010224460601806595
Wine,34,l1,None,0.5,True,False,0.01,64,0.5637755393981934,0.551 +- 0.016,0.551,0.012775539398193314
Wine,610,l2,loss,0.0,True,False,0.01,64,0.5637755393981934,0.551 +- 0.016,0.551,0.012775539398193314
Wine,636,l2,loss,0.5,True,False,0.1,64,0.5637755393981934,0.551 +- 0.016,0.551,0.012775539398193314
Wine,666,l2,loss,1.0,False,True,0.1,64,0.5637755393981934,0.551 +- 0.017,0.551,0.012775539398193314
Wine,166,l1,loss,0.5,False,False,0.01,64,0.5663265585899353,0.551 +- 0.019,0.551,0.015326558589935257
Wine,268,l1,avg,0.5,True,True,0.01,64,0.5663265585899353,0.551 +- 0.015,0.551,0.015326558589935257
Wine,1118,max,loss,0.5,False,True,0.001,64,0.5663265585899353,0.551 +- 0.01,0.551,0.015326558589935257
Wine,1236,max,avg,0.5,True,False,0.1,64,0.5663265585899353,0.551 +- 0.006,0.551,0.015326558589935257
Wine,1218,max,avg,0.0,False,True,0.1,64,0.5701530575752258,0.551 +- 0.012,0.551,0.019153057575225785
Wine,1005,max,None,0.5,False,False,0.01,32,0.5727040767669678,0.551 +- 0.011,0.551,0.021704076766967728
Wine,407,l1,mult,0.5,False,False,0.1,32,0.5548469424247742,0.55 +- 0.014,0.55,0.0048469424247741255
Wine,738,l2,avg,0.0,False,True,0.1,64,0.5548469424247742,0.55 +- 0.016,0.55,0.0048469424247741255
Wine,807,l2,avg,2.0,False,True,0.01,32,0.5561224222183228,0.55 +- 0.011,0.55,0.0061224222183227095
Wine,991,max,None,0.5,True,False,0.001,32,0.5561224222183228,0.55 +- 0.009,0.55,0.0061224222183227095
Wine,162,l1,loss,0.5,False,True,0.1,64,0.5573979616165161,0.55 +- 0.015,0.55,0.007397961616516069
Wine,543,l2,None,1.0,False,True,0.01,32,0.5573979616165161,0.55 +- 0.01,0.55,0.007397961616516069
Wine,688,l2,loss,2.0,False,True,0.01,64,0.5573979616165161,0.55 +- 0.01,0.55,0.007397961616516069
Wine,376,l1,mult,0.0,False,True,0.01,64,0.5586734414100647,0.55 +- 0.013,0.55,0.008673441410064653
Wine,572,l2,None,2.0,False,False,0.001,64,0.5586734414100647,0.55 +- 0.012,0.55,0.008673441410064653
Wine,749,l2,avg,0.5,True,True,0.1,32,0.5586734414100647,0.55 +- 0.015,0.55,0.008673441410064653
Wine,796,l2,avg,2.0,True,True,0.01,64,0.5586734414100647,0.55 +- 0.013,0.55,0.008673441410064653
Wine,40,l1,None,0.5,False,True,0.01,64,0.5599489808082581,0.55 +- 0.016,0.55,0.009948980808258012
Wine,931,l2,mult,2.0,False,False,0.001,32,0.5599489808082581,0.55 +- 0.013,0.55,0.009948980808258012
Wine,1013,max,None,1.0,True,True,0.1,32,0.5599489808082581,0.55 +- 0.01,0.55,0.009948980808258012
Wine,554,l2,None,2.0,True,True,0.001,64,0.5612244606018066,0.55 +- 0.013,0.55,0.011224460601806596
Wine,567,l2,None,2.0,False,True,0.01,32,0.5612244606018066,0.55 +- 0.015,0.55,0.011224460601806596
Wine,786,l2,avg,1.0,False,True,0.1,64,0.5612244606018066,0.55 +- 0.016,0.55,0.011224460601806596
Wine,369,l1,mult,0.0,True,False,0.01,32,0.5637755393981934,0.55 +- 0.014,0.55,0.013775539398193315
Wine,378,l1,mult,0.0,False,True,0.1,64,0.5637755393981934,0.55 +- 0.014,0.55,0.013775539398193315
Wine,1113,max,loss,0.5,True,False,0.01,32,0.5637755393981934,0.55 +- 0.01,0.55,0.013775539398193315
Wine,393,l1,mult,0.5,True,False,0.01,32,0.5650510191917419,0.55 +- 0.015,0.55,0.015051019191741899
Wine,1254,max,avg,1.0,True,True,0.1,64,0.5650510191917419,0.55 +- 0.008,0.55,0.015051019191741899
Wine,1279,max,avg,2.0,True,False,0.001,32,0.5650510191917419,0.55 +- 0.011,0.55,0.015051019191741899
Wine,1281,max,avg,2.0,True,False,0.01,32,0.5650510191917419,0.55 +- 0.011,0.55,0.015051019191741899
Wine,978,max,None,0.0,False,True,0.1,64,0.5663265585899353,0.55 +- 0.012,0.55,0.01632655858993526
Wine,383,l1,mult,0.0,False,False,0.1,32,0.5688775777816772,0.55 +- 0.016,0.55,0.0188775777816772
Wine,417,l1,mult,1.0,True,False,0.01,32,0.5535714030265808,0.549 +- 0.012,0.549,0.004571403026580767
Wine,791,l2,avg,1.0,False,False,0.1,32,0.5561224222183228,0.549 +- 0.015,0.549,0.00712242221832271
Wine,1293,max,avg,2.0,False,False,0.01,32,0.5561224222183228,0.549 +- 0.011,0.549,0.00712242221832271
Wine,285,l1,avg,0.5,False,False,0.01,32,0.5573979616165161,0.549 +- 0.016,0.549,0.00839796161651607
Wine,286,l1,avg,0.5,False,False,0.01,64,0.5586734414100647,0.549 +- 0.01,0.549,0.009673441410064654
Wine,552,l2,None,1.0,False,False,0.1,64,0.5586734414100647,0.549 +- 0.01,0.549,0.009673441410064654
Wine,283,l1,avg,0.5,False,False,0.001,32,0.5599489808082581,0.549 +- 0.014,0.549,0.010948980808258013
Wine,399,l1,mult,0.5,False,True,0.01,32,0.5599489808082581,0.549 +- 0.009,0.549,0.010948980808258013
Wine,1066,max,None,5.0,True,False,0.01,64,0.5599489808082581,0.549 +- 0.009,0.549,0.010948980808258013
Wine,403,l1,mult,0.5,False,False,0.001,32,0.5612244606018066,0.549 +- 0.017,0.549,0.012224460601806597
Wine,1051,max,None,2.0,False,False,0.001,32,0.5625,0.549 +- 0.008,0.549,0.013499999999999956
Wine,159,l1,loss,0.5,False,True,0.01,32,0.5637755393981934,0.549 +- 0.011,0.549,0.014775539398193316
Wine,1239,max,avg,0.5,False,True,0.01,32,0.5637755393981934,0.549 +- 0.012,0.549,0.014775539398193316
Wine,387,l1,mult,0.5,True,True,0.01,32,0.5650510191917419,0.549 +- 0.012,0.549,0.0160510191917419
Wine,1292,max,avg,2.0,False,False,0.001,64,0.5676020383834839,0.549 +- 0.01,0.549,0.018602038383483843
Wine,158,l1,loss,0.5,False,True,0.001,64,0.5522959232330322,0.548 +- 0.013,0.548,0.004295923233032184
